"","SITE","SOIL","Ece","EC","Cle","pHe","pH.1.5","OM","OC","Nt","P","P2O5","M","SP","M.SP"
"MSHM18083","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM18084","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM18085","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM18086","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM18087","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM18088","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM18089","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM18090","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM18091","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM18092","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM18093","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM18094","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM18095","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM18096","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM20113","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20114","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20115","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20116","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20117","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20118","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20119","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20120","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20121","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20122","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20123","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20124","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20125","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20126","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20127","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20128","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20129","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20130","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20131","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20132","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20133","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20134","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20135","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20136","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20137","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20138","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20139","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20140","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20141","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20142","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20143","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20144","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20145","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20146","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20147","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20148","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20149","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20150","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20151","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20152","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20153","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20154","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20155","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20156","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20157","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20158","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20159","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20160","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20161","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20162","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20163","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20164","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20165","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20166","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20167","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20168","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20169","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20170","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20171","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20172","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20173","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20174","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20175","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20176","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20177","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20178","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20179","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20180","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20181","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20182","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20183","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20184","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20185","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20186","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20187","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20188","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20189","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20190","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20191","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20192","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20193","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20194","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20195","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20196","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20197","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20198","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20199","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20200","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20201","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20202","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20203","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20204","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20205","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20206","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20207","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20208","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20209","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20210","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20211","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20212","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20213","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20214","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20215","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20216","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20217","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20218","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20219","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20220","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20221","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20222","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20223","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20224","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20225","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20226","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20227","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20228","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20229","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20230","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20231","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20232","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20233","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20234","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20235","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20236","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20237","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20238","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20239","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20240","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20241","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20242","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20243","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20244","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20245","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20246","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20247","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20248","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20249","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20250","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20251","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20252","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20253","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20254","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20255","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20256","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20257","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20258","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20259","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20260","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20261","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20262","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20263","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20264","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20265","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20266","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20267","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20268","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20269","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20270","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20271","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20272","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20273","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20274","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20275","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20276","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20277","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20278","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20279","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20280","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20281","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20282","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20283","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20284","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20285","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20286","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20287","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
"MSHM20288","Rig-Boland Desert","Arid soil",5.34,0.94,635,8.1,8,0.22,0.13,0.022,3.5,8.14,0.7,24.5,0.03
